nb_pieces,lien,titre,surface,nb_chambres,annee_constr,nb_features_int,features_int,features_ext,terrain,prix,type,villes,piscine,place_parking,cuisine_amenagee,ascenseur,sous_sol,balcons,terrasses,caves,garages
1,https://www.laforet.com/agence-immobiliere/paris15vaugirard/acheter/paris-15/appartement-1-piece-21480223,Appartement T1 Paris 15,10,1,0,2,Cuisine Kitchenet,,0,99500,Appartement,Paris 15,0,0,0,0,0,0,0,0,0
1,https://www.laforet.com/agence-immobiliere/paris15vaugirard/acheter/paris-18/appartement-1-piece-21480169,Appartement T1 Paris 18,25,1,0,4,"Cuisine Ouverte, 1 cave(s)",,0,243000,Appartement,Paris 18,0,0,0,0,0,0,0,1,0
1,https://www.laforet.com/agence-immobiliere/paris15vaugirard/acheter/boulogne-billancourt/appartement-1-piece-21480165,Appartement T1 Boulogne-Billancourt,12,1,0,4,"Cuisine Kitchenet, Avec ascenseur",,0,112500,Appartement,Boulogne-Billancourt,0,0,0,1,0,0,0,0,0
3,https://www.laforet.com/agence-immobiliere/dijon-monge/acheter/dijon/appartement-3-pieces-21480163,Appartement T3 Dijon,65,2,2005,10,"Cuisine Nue, Avec ascenseur, 1 terrasse(s), 1 cave(s), Avec sous-sol",,1,211700,Appartement,Dijon,0,0,0,1,1,0,1,1,0
1,https://www.laforet.com/agence-immobiliere/paris11couronnes/acheter/paris-11/appartement-1-piece-21480156,Appartement T1 Paris 11,15,1,0,2,Cuisine Kitchenet,,0,187250,Appartement,Paris 11,0,0,0,0,0,0,0,0,0
3,https://www.laforet.com/agence-immobiliere/paris15vaugirard/acheter/paris-15/appartement-3-pieces-21480098,Appartement T3 Paris 15,75,2,1970,8,"Cuisine Independante, Avec ascenseur, 1 balcon(s), Avec sous-sol",,0,725500,Appartement,Paris 15,0,0,0,1,1,1,0,0,0
2,https://www.laforet.com/agence-immobiliere/ronchin/acheter/lille/appartement-2-pieces-21480067,Appartement T2 Lille,29,1,0,4,"Cuisine Kitchenet, 1 cave(s)",,0,83000,Appartement,Lille,0,0,0,0,0,0,0,1,0
3,https://www.laforet.com/agence-immobiliere/sartrouville/acheter/sartrouville/maison-3-pieces-21480056,Maison T3 Sartrouville,57,2,1948,8,"Cuisine Nue, 1 balcon(s), Avec sous-sol, 1 garage(s)",,1,336000,Maison,Sartrouville,0,0,0,0,1,1,0,0,1
4,https://www.laforet.com/agence-immobiliere/taverny/acheter/taverny/appartement-4-pieces-21480022,Appartement T4 Taverny,76,3,1970,4,"1 terrasse(s), 1 cave(s)",,0,249000,Appartement,Taverny,0,0,0,0,0,0,1,1,0
6,https://www.laforet.com/agence-immobiliere/mouy/acheter/bury/maison-6-pieces-21479966,Maison T6 pres de Bury,156,3,0,2,Cuisine Amenagee/equipee,,1,293000,Maison,Bury,0,0,1,0,0,0,0,0,0
5,https://www.laforet.com/agence-immobiliere/mouy/acheter/mouy/maison-5-pieces-21479957,Maison T5 Mouy,118,4,0,2,Cuisine Amenagee,,1,184500,Maison,Mouy,0,0,1,0,0,0,0,0,0
4,https://www.laforet.com/agence-immobiliere/mouy/acheter/mouy/maison-4-pieces-21479955,Maison T4 Mouy,92,3,0,4,"Cuisine Amenagee, 1 terrasse(s)",,1,174000,Maison,Mouy,0,0,1,0,0,0,1,0,0
3,https://www.laforet.com/agence-immobiliere/mouy/acheter/mouy/maison-3-pieces-21479943,Maison T3 pres de Mouy,69,2,0,0,,,1,109500,Maison,Mouy,0,0,0,0,0,0,0,0,0
4,https://www.laforet.com/agence-immobiliere/mouy/acheter/mouy/appartement-4-pieces-21479942,Appartement T4 Mouy,79,2,0,4,"Cuisine Amenagee, 1 balcon(s)",,0,97000,Appartement,Mouy,0,0,1,0,0,1,0,0,0
3,https://www.laforet.com/agence-immobiliere/mouy/acheter/mouy/maison-3-pieces-21479938,Maison T3 pres de Mouy,43,1,0,0,,,1,78900,Maison,Mouy,0,0,0,0,0,0,0,0,0
3,https://www.laforet.com/agence-immobiliere/clermont/acheter/breuil-le-vert/maison-3-pieces-21479904,Maison T3 pres de Breuil-le-Vert,38,1,0,2,Cuisine Amenagee/equipee,,1,108000,Maison,Breuil-le-Vert,0,0,1,0,0,0,0,0,0
5,https://www.laforet.com/agence-immobiliere/mornant/acheter/mornant/maison-5-pieces-21479621,Maison T5 pres de Mornant,102,4,0,2,Cuisine Amenagee/equipee,,1,397000,Maison,Mornant,0,0,1,0,0,0,0,0,0
3,https://www.laforet.com/agence-immobiliere/paris20gambetta/acheter/paris-12/appartement-3-pieces-21479619,Appartement T3 Paris 12,69,2,1970,8,"1 balcon(s), 1 cave(s), Avec sous-sol, 1 garage(s)",,0,673000,Appartement,Paris 12,0,0,0,0,1,1,0,1,1
3,https://www.laforet.com/agence-immobiliere/paris20gambetta/acheter/paris-20/appartement-3-pieces-21479617,Appartement T3 Paris 20,69,2,1970,8,"1 balcon(s), 1 cave(s), Avec sous-sol, 1 garage(s)",,0,673000,Appartement,Paris 20,0,0,0,0,1,1,0,1,1
2,https://www.laforet.com/agence-immobiliere/saint-malo-saint-servan/acheter/saint-malo/appartement-2-pieces-21479600,Appartement T2 Saint-Malo,50,1,1746,6,"Cuisine Amenagee/equipee, 1 cave(s), Avec sous-sol",,0,183400,Appartement,Saint-Malo,0,0,1,0,1,0,0,1,0
3,https://www.laforet.com/agence-immobiliere/riom/acheter/vichy/appartement-3-pieces-21479488,Appartement T3 Vichy,76,2,0,0,,,0,174900,Appartement,Vichy,0,0,0,0,0,0,0,0,0
4,https://www.laforet.com/agence-immobiliere/paris10saintmartin/acheter/paris-10/appartement-4-pieces-21479444,Appartement T4 Paris 10,79,2,1970,10,"Cuisine Amenagee/equipee, Avec ascenseur, 1 balcon(s), 1 cave(s), Avec sous-sol",Avec piscine,0,830000,Appartement,Paris 10,1,0,1,1,1,1,0,1,0
2,https://www.laforet.com/agence-immobiliere/paris10saintmartin/acheter/paris-10/appartement-2-pieces-21479432,Appartement T2 Paris 10,66,1,0,6,"Cuisine Equipee, Avec ascenseur, 1 cave(s)",,0,610000,Appartement,Paris 10,0,0,0,1,0,0,0,1,0
2,https://www.laforet.com/agence-immobiliere/paris10saintmartin/acheter/paris-10/appartement-2-pieces-21479422,Appartement T2 Paris 10,42,1,0,4,"Avec ascenseur, 1 cave(s)",,0,436650,Appartement,Paris 10,0,0,0,1,0,0,0,1,0
1,https://www.laforet.com/agence-immobiliere/paris10saintmartin/acheter/paris-10/appartement-1-piece-21479417,Appartement T1 Paris 10,9,1,1800,2,Cuisine Kitchenet,,0,99000,Appartement,Paris 10,0,0,0,0,0,0,0,0,0
6,https://www.laforet.com/agence-immobiliere/saint-malo-saint-servan/acheter/miniac-morvan/maison-6-pieces-21479416,Maison T6 pres de Miniac-Morvan,145,3,1985,2,Cuisine Amenagee/equipee,,1,116300,Maison,Miniac-Morvan,0,0,1,0,0,0,0,0,0
